Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Jagorani Sangha Durga Puja Pandal,16/1/H/48/1 Murari Pukur. Ultadanga. Kolkata 700067,"22.593055, 88.384366",Belgachhia / Shyambazar,4.4,North,Community-favorite
Janbazar Rajbari,"20 Rafi Ahmed Kidwai Rd. Janbazar, Taltala, Kolkata 700013","22.558511, 88.357559",Esplanade / Chandni Chowk,4.6,Central,Community-favorite
Jorasanko 7 Er Palli Sarbojanin Durgapuja,5A Pratap Ghosh Ln. Jorasanko. Kolkata 700007,"22.584380, 88.361506",Mahatma Gandhi Road / Girish Park,4.7,North,Community-favorite
Jubok Sangho Puja Mandap,Dr Ambedkar Sarani. Vivekanand Pally. Durganagar. North Dumdum 700065,"22.649027, 88.415597",Dum Dum Cantonment,4.7,North,Community-favorite
Kadamtala Durga Mandap,"Jheel Bagan, Purba Sinthi. Dum Dum, Kolkata 700030","22.622315, 88.395541",Dum Dum,4.3,North,Community-favorite
Kaiser Street Sarbojanin,"Sealdah, Raja Bazar, Kolkata 700014","22.568677, 88.370178",Sealdah,4.3,East,Community-favorite
Kali Puja Pandal (green Park,Dum Dum),"22.642011, 88.431169","23/2, RN Guha Rd. Green Park, Rajbari, Dum Dum, North Dumdum 700028",Dum Dum Cantonment,4,North
Kalighat Mahashakti Durga Puja,"15/1 Anami Sangha, Kalighat, Kolkata 700026","22.518940, 88.344525",Kalighat,4.2,South,Community-favorite
Kalighat Sree Sangha,"53/A, Gurupada Halder Rd. Kalighat. Kolkata 700026","22.521081, 88.343387",Jatin Das Park / Kalighat,4.8,South,Community-favorite
Kamal Park Sarbojanin Durga Puja Committee,BC 88. Rabindrapally. Kestopur. Kolkata 700101,"22.599919, 88.427592",Central Park / Karunamoyee,5,East,Community-favorite
Kankurgachi Chalantika Durgotsav Ground,"16. Bagmari Lane, BRS 10, Kankurgachi, Kolkata 700054","22.583983, 88.383619",Bengal Chemical / Phoolbagan,4.7,East,Community-favorite
Kasba Shakti Sangha,"14/1 Jahura Bazar Ln, Bosepukur, Kasba, Kolkata 700042","22.516468, 88.381465",VIP Bazar,4.5,South,Community-favorite
Kestopur Durga Puja,AB-69. Prafulla Kanan. Narayantala. Kolkata 700101,"22.608743, 88.420987",Central Park,4.9,East,Community-favorite
Khidirpur 25 Palli Durga Puja,10 Gopal Ghosh Ln. Kidderpore. Kolkata 700023,"22.539256, 88.326883",Netaji Bhavan / Rabindra Sadan / Majerhat,4.5,South,Community-favorite
Kishore Sangha Club Durga Puja (tangra),"7/11, Rani Rashmoni Garden Ln. Tangra, Kolkata 700015","22.559593, 88.390718",Phoolbagan,4.5,East,Community-favorite
Kolkata Durga Puja Parikrama (boat Tour),"Sovabazar St, Raja Nabakrishna Street, Sovabazar, Kolkata 700005","22.595850, 88.365087",Shobhabazar Sutanuti,4.3,North,Community-favorite
Kumartuli Park Sarbojanin Durgotsab,"8B Abhay Mitra St. Kumartuli, Kolkata 700005","22.598980, 88.361495",Shobhabazar Sutanuti,4.5,North,Community-favorite
Kumortuli Sarbojonin Durgotsab,"Sovabazar, Malipanchghara, Baghbazar, Kolkata 700005","22.602254, 88.363088",Shobhabazar Sutanuti,4.6,North,Community-favorite
Kundubagan Abasik Samiti Durga Mandir,"45/A/2, Mallicpara, Ghoramara, Serampore, Hooghly 712203","22.747180, 88.339957",4.4,Others,Community-favorite,
Labony Estate Durga Puja,"EB Block, Sector 1. Bidhannagar, Kolkata 700064","22.584448, 88.407060",City Center/ Bengal Chemical,4.6,East,Community-favorite
Lake Youth Corner Durga Puja,"13G Dr TN Majumder St. Lake Range, Kalighat, Kolkata 700026","22.510647, 88.347240",Rabindra Sarobar,4.5,South,Community-favorite
Lal Building Durga Puja,Sealdah. Raja Bazar. Kolkata 700009,"22.568677, 88.370178",Sealdah,4.5,East,Community-favorite
Maa Durga Pandal (balaka Abasan),CG Block(Newtown). Action Area I. Newtown 700102,"22.573923, 88.454469",Salt Lake Sector-V,4.6,East,Community-favorite
Madhya Bidhan Pally Sarbojonin Puja Mandap,243/2 Bidhanpally. Bansdroni. Kolkata 700084,"22.467222, 88.370388",Gitanjali,4.6,South,Community-favorite
Madhya Kolkata Sarbojanin Durga Puja,"3-4, Raj Kumar Chakraborty Ln, Baithakkhana, Kolkata 700014","22.569135, 88.367435",Sealdah,4.5,East,Community-favorite
Maitreyi Durga Puja Mandap,"26. Maitreyi Road, Green Park, Rajbari, Dum Dum, Kolkata 700028","22.639727, 88.419007",Dum Dum Cantonment,4.3,North,Community-favorite
Mallick Colony Sarbojonin Durga Utsav,"207/120A BT Rd. Mallick Colony, Baranagar 700036","22.642015, 88.376006",Baranagar,4.2,North,Community-favorite
Mandirtala Durga Puja Pandal,7/1 Kashinath Chatterjee Ln. Shibpur. Howrah 711102,"22.569599, 88.311825",Howrah Maidan,4.5,Howrah,Community-favorite
Milan Samity Durga Puja (serampore),"63. A/1, Serampore, Hooghly 712201","22.748431, 88.348219",4.3,Others,Community-favorite,
Milan Sangha (gobardanga),"Station Rd E, Garhpara, Gobardanga 743273","22.876967, 88.761536",Kolkata Metro,4.2,North,Community-favorite
Milanpally Durga Puja,"Milan Pally, Rajpur Sonarpur 700150","22.437965, 88.431907",Kavi Subhash / Shahid Khudiram,4.1,South,Community-favorite
Mitali Sangha Bijoygarh 10 No. Durga Puja Pandal,"10-75-B. Bijoygarh, Regent Estate, Jadavpur, Kolkata 700092","22.486712, 88.368441",Masterda Surya Sen,5,South,Community-favorite
Mitali Sangha Durga Puja Pandal (kankurgachi),"1214j. Maniktala Main Rd. Manicktala, Garpar, Kankurgachi, Kolkata 700054","22.580047, 88.394132",Bengal Chemical / Phoolbagan,4.4,East,Community-favorite
Mohammed Ali Park (muhammad Ali Park),"Chittaranjan Ave, College Square, Kolkata 700073","22.574707, 88.359632",Mahatma Gandhi Road / Central,4.2,Central,Community-favorite
Moitri Sangha Durga Puja Pandel,"13. Deshapriya Park Rd, Manoharpukur, Kalighat, Kolkata 700026","22.518384, 88.349946",Kalighat / Jatin Das Park,4.2,South,Community-favorite
Naba Baghbazar Sarbajanin Durga Puja,Nandalal Bose Ln. Bag Bazar Colony. Baghbazar. Kolkata 700003,"22.604715, 88.369957",Shyambazar,4.5,North,Community-favorite
Nabajagarani Sangha Durga Puja Mandap,"Rabindra Rd. Barasat, Kolkata 700125","22.732347, 88.485613",4.3,Others,Community-favorite,
Nandan Durga Puja Pandal,"Nandan Colony. M N Roy Rd, Paschatya Para, Harinavi, Rajpur Sonarpur 700149","22.423980, 88.418461",Shahid Khudiram,4,South,Community-favorite
Nandram Sen Street Sarbojanin Durgotsab Samity,"43/C, Nandaram Sen St, Sovabazar, Shobhabazar, Kolkata, West Bengal 700005","22.598300, 88.361171",Shobhabazar Sutanuti,4.7,North,Community-favorite
Nasta Goli Kankurgachi Durga Puja Pandal,"P/45/A, Kankurgachi, Kolkata 700054","22.580862, 88.390443",Phoolbagan / Bengal Chemical,4.4,East,Community-favorite
Natunpara Durga Puja Pandal,"65/1, Biren Roy Road W. Natunpara, Basudevpur Colony. Paschim Barisha. Kolkata 700061","22.484636, 88.306718",Behala Chowrasta,3.9,South,Community-favorite
Nehru Nagar Sarbojonin Durga Puja Samity,"Nehru Nagar Colony, Mahesh Bose Para, Serampore 712201","22.740296, 88.353682",Dakshineswar,4.3,Others,Community-favorite
New Market (54 Pally) Sarbajanin Durgotsav Parichalan Samity,"4a. Bertram Street, Charlie Chaplin Square. Esplanade, Dharmatala, Taltala. Kolkata 700087","22.562638, 88.352594",Esplanade,4.7,Central,Community-favorite
New Market Sarbojonin Sri Sri Durga Puja,"38 Market Street. Free School St, Esplanade, Janbazar. Kolkata 700016","22.558725, 88.354779",Esplanade / Chandni Chowk / Park Street,3.8,Central,Community-favorite
New Town Durga Puja Committee Bg Block,Street No 131. Action Area 1B. Newtown 700163,"22.583321, 88.468641",Salt Lake Sector-V,4.6,East,Community-favorite
Nimtala Sarbojanin Durga Puja,"16B, Nimtala Ln. Ahiritola, Beniatola, Kolkata 700006","22.592444, 88.358660",Girish Park / Shobhabazar Sutanuti,4.3,North,Community-favorite
Pallysree Durga Puja Ground,"1/1P Jaharlal Dutta Ln, Ultadanga, Kolkata 700067","22.597459, 88.383772",Belgachhia,4.3,North,Community-favorite
Palta Yuba Sports & Cultural Club Durga Puja,"1 Ghosh Para Rd, Palta, North Barrackpur 743122","22.786822, 88.369262",4.7,Others,Community-favorite,
Parkshree Sarbojanin Durgotsav,"8A. Mrigendralal Mitter Rd, Park Circus. Kolkata 700017","22.544458, 88.363623",Maidan/Rabindra Sadan / Park Street,4.8,East,Community-favorite
Parnasree Club Durga Puja Ground,"500, Dhopapara, Parnasree Palli, Behala, Kolkata 700060","22.507446, 88.305098",Behala Bazar / Taratala,4.8,South,Community-favorite
Pathakpara Barowari Puja Samiti,"Mohanlal Bahalwalla Rd, Belur, Bally. Howrah 711201","22.639919, 88.342230",Dakshineswar,4.1,Howrah,Community-favorite
Pathuriaghata Pancher Pally Sarbojonin Durgotsab Committee,"Malapara. Santoshpur, Jorabagan. Kolkata. West Bengal 700006","22.588134, 88.355508",Girish Park,4.7,North,Community-favorite
Pathuriaghata Rajbari (khelat Ghose's Residence),69. Pathuria Ghat St. Jorabagan. Kolkata 700006,"22.588728, 88.356550",Girish Park,4.5,North,Community-favorite
Pragati Sangha (habra),"Borolia Rd. Sreenagar, Hijalpukuria, Habra 743271","22.836349, 88.660305",Kolkata Metro,4.3,North,Community-favorite
Pratapgarh Sporting Club (bongaon),"SH 1, Bangaon 743235","23.050252, 88.818706",Kolkata Metro,4.4,North,Community-favorite
Purvachal Durga Puja Pandal,"2/89, Raipur Rd E. Bijoygarh, Jadavpur, Kolkata 700032","22.489620, 88.366612",Masterda Surya Sen,4.1,South,Community-favorite
Raipur Club Durga Puja Pandal,"62. New Raipur Rd, Raipur, Garia. Kolkata 700084","22.475599, 88.379907",Gitanjali / Kavi Nazrul,4.3,South,Community-favorite
Raja Subodh Mallick Square Sarbojanin,"Raja Subodh Mullick Square Rd, Bowbazar, Kolkata 700013","22.563506, 88.360319",Chandni Chowk / Esplanade,4.1,Central,Community-favorite
Ramchandrapur Tarun Sangha,"Ramchandrapur, Narendrapur, Rajpur Sonarpur 700103","22.436232, 88.388603",Kavi Nazrul / Shahid Khudiram,4.3,South,Community-favorite
Ramkrishna Park Durga Puja Mandap,"B-10, Ramkrishna Park Rd, Ashok Sen Nagar, Sodepur, Panihati 700110","22.696108, 88.399994",Baranagar,4.1,Others,Community-favorite
Ramkrishnapally Durga Puja Math,"Abdalpur, Madhyamgram, Kolkata 700155","22.694662, 88.478033",Jai Hind,4.3,Others,Community-favorite
Rangkol Mandal Para Yubak Brinda Durga Puja Pandal,"95. Mandal Para Ln. Bidhan Park. MandalPara. Sinthee, Baranagar 700090","22.634876, 88.390397",Noapara,4,North,Community-favorite
Rani Rashmoni Kachari Bari,"18. Rani Rashmoni Rd. Esplanade, Taltala, Kolkata 700013","22.562518, 88.355265",Esplanade / Chandni Chowk,4.3,Central,Community-favorite
Rani Rashmoni Thakur Bari,13. Free School St. New Market Area. Taltala. Kolkata 700013,"22.562879, 88.355783",Esplanade / Chandni Chowk,3.7,Central,Community-favorite
Regent Place Juba Sangha Club,"67/D, Ranikuthi, Sree Colony, Tilak Nagar, Regent Park, Kolkata 700040","22.484213, 88.354332",Masterda Surya Sen,4.3,South,Community-favorite
R.m.s. Maidan Durga Puja,"Serampore, Hooghly 712201","22.748431, 88.348219",4.4,Others,Community-favorite,
Rupak Sangha Durga Puja Pandal,"Kadamtala, Bantra, Ichapur, Howrah 711101","22.586886, 88.316946",Howrah Maidan,4,Howrah,Community-favorite
Sabarna Roy Chowdhury Sanjer Attchala Bari,26. Sabarna Para Rd. Subodh Pally. Barisha. Kolkata 700008,"22.479877, 88.306428",Sakherbazar,4.5,South,Community-favorite
Sahid Colony Sarbojanin Durga Pujo,"Sahid Colony, Panihati. Khardaha 700114","22.695941, 88.377002",Baranagar / Dakshineswar,4.5,Others,Community-favorite
Salkia Durgotsav Baroary,"48 Kamini School Ln. Salkia, Howrah 711106","22.603494, 88.339805",Howrah,4.4,Howrah,Community-favorite
Samparka Mahila Durga Puja Committee,"Block 4, S Sinthee Rd, Sinthee, Kolkata 700050","22.629030, 88.381621",Dum Dum,4.2,North,Community-favorite
Santoshpur Avenue South Durga Puja Pandal,"23. Ave S Rd, Bidhan Colony, Santoshpur, Kolkata 700075","22.491506, 88.379749",Satyajit Ray,4,South,Community-favorite
Santoshpur Rishi Aurobindo Durga Puja Pandal,"25 Santoshpur Ave, 36 Aurobindo Rd. Santoshpur, Kolkata 700075","22.494201, 88.377921",Satyajit Ray,5,South,Community-favorite
Saradia Durga Puja Pandal (jadavpur),"Jadavpur, Kolkata 700032","22.495499, 88.370901",Masterda Surya Sen / Mahanayak Uttam Kumar / Satyajit Ray,5,South,Community-favorite
Sarat Bose Road Durga Puja Pandal,"153, Sarat Bose Rd, Lansdowne Ln, Manoharpukur, Kalighat, Kolkata 700026","22.525831, 88.352612",Jatin Das Park / Kalighat,4.7,South,Community-favorite
Sealdah Bazar Jagaddhatri Puja,"Bepin Behari Ganguly St. Vidyapati Setu, Sealdah, Baithakkhana. Kolkata 700014","22.566885, 88.369219",Sealdah,4.8,East,Community-favorite
Shakti Sangha Club's Durga Puja Ground,"21. Purbachal Main Rd, Shanti Pally, South Purbachal. Haltu, Kolkata 700078","22.504736, 88.387963",Kavi Sukanta / Jyotirindra Nandi,4.5,South,Community-favorite
Shibaji Sangha Durga Puja Pandal,"Ichapur, Howrah 711104","22.592856, 88.313097",Howrah Maidan,4.6,Howrah,Community-favorite
