Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Santragachi Kalpataru,"48/1/A, Brajendra Lahiri Rd, Baruipara, Ichapur, Howrah 711104","22.583794, 88.297529",Howrah Maidan,4.7,Howrah,Famous-for-lighting
Madhusudan Das Lane & Bye Lane Sarbojaneen Durgotsab,MADHUSUDAN DAS LANE & BYE LANE SARBOJANEEN DURGOTSAB. Kolkata (FFD Member 2025),"22.558171, 88.306638",Howrah Maidan Metro,4.6,Howrah,Traditional
Kalighat Nepal Bhattacharjee St Club,"10/9, Nepal Bhattacharya St. Anami Sangha, Kalighat. Kolkata 700026","22.517377, 88.344707",Kalighat,4.8,South,Community-favorite
Sree Durga Club,"15. Omda Raja Ln, Seal Lane, Tangra, Kolkata 700015","22.567605, 88.377327",Jatin Das Park / Kalighat,4.9,East,Award-winner
Madhab Das Lane Sarbojanin Durgotsab,"155/5. Madhab Das Ln. Manicktala, Khanna, Kolkata, West Bengal 700004","22.592956, 88.375343",Shyambazar / Shobhabazar Sutanuti,4.7,North,Famous-for-lighting
Haridevpur New Sporting Club,"55. Banamali Banerjee Rd, Basuri Bagan, Kolkata 700082","22.479071, 88.334655",Netaji,4.5,South,Award-winner
Barisha Sarbojanin Durgotsab,"26 Sabarna Para Rd, Subodh Pally, Barisha, Kolkata 700008","22.479877, 88.306428",Sakherbazar,4.9,South,Award-winner
Ashok Nagar Sarbojanin Durgotsab Committee,Ashok Nagar Colony. Tollygunge. Kolkata 700040,"22.490198, 88.347763",Mahanayak Uttam Kumar,4.6,South,Traditional
Badamtala Ashar Sangha,"18-17 Nepal Bhattacharya St. Kalighat, Kolkata 700026","22.517828, 88.343495",Kalighat,4.7,South,Famous-for-lighting
Purbachal Sarbojanin Durgotsab (east),"PURBACHAL SARBOJANIN DURGOTSAB (EAST), Kolkata (FFD Member 2025)","22.506342, 88.393704",Kavi Sukanta / Hemanta Mukhopadhyay,4.9,South,Award-winner
Nagerbazar Sarbojanin,"507/87 Devendra Nagar. Amarpalli, South Dumdum 700074","22.616481, 88.411298",Dum Dum,4.6,North,Traditional
Santoshpur Lake Pally,"4 Lake W Rd. Santoshpur, Kolkata 700075","22.491428, 88.382769",Satyajit Ray,4.5,South,Award-winner
Purba Kalikata Sarbojanin Durgotsab,"PURBA KALIKATA SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.574354, 88.362873",Masterda Surya Sen,4.6,East,Traditional
Bagmari Anchalik Yubak Brinda,"10, Bagmari Rd, Kankurgachi, Kolkata, West Bengal 700054","22.580972, 88.392347",Phoolbagan,4.9,East,Award-winner
Saterpalli Sarbojanin Durgotsav Committee,"1/3. Maratha Ditch Ln, Baghbazar, Kolkata, West Bengal 700003","22.605301, 88.372057",Shyambazar,4.9,North,Award-winner
Forward Sporting Club,"27/19/7, Forward Colony, Palpara, Baranagar 700090","22.642145, 88.386079",Shyambazar / Shobhabazar Metro,4.5,North,Award-winner
Taltala Sarbojanin Saradiya Puja Committee,"3. Durga Charan Doctor Rd, Taltala, Kolkata 700013","22.558381, 88.364135",Shyambazar / Shobhabazar Metro,4.7,Central,Famous-for-lighting
Balia Baishakhi Sangha,"Boro battola, 67, Garia Station Rd. Central Balia, Garia 700084","22.466029, 88.396385",Shahid Khudiram / Kavi Subhash,4.8,South,Community-favorite
Uttar Kolkata Sanhati Sporting Club,123/2. Acharya Prafulla Chandra Rd. Kolkata 700006,"22.586842, 88.373477",Girish Park,4.5,North,Award-winner
75 Pally Sarbojanin Durgotsav,11C. Khidderpore. Ramanath Pal Rd. Kidderpore. Kolkata 700023,"22.538697, 88.319108",Majerhat,4.8,South,Community-favorite
Kidderpore Bharati Sanmilani,KIDDERPORE BHARATI SANMILANI. Kolkata (FFD Member 2025),"22.574354, 88.362873",Tollygunge / Behala Chowrasta Metro,4.7,South,Famous-for-lighting
Brindaban Matrimandir,"16. Brindaban Mullick 1st Ln, Machuabazar, Kolkata 700009","22.582850, 88.372834",Girish Park / Mahatma Gandhi Road,4.5,East,Award-winner
Uttarayan Club,"Mukherjee Para, Durgapur, Bally, Howrah 711205","22.656400, 88.333085",Dakshineswar,4.7,Howrah,Famous-for-lighting
A B Block Abasik Sangha,"AB Block, Sector 1, Bidhannagar, Kolkata 700064","22.593313, 88.399785",City Center,4.8,East,Community-favorite
Friends Union (puja Committee),"9 Bhabnath Sen St, Bidhan Sarani, Kolkata 700004","22.603033, 88.374487",Shyambazar,4.9,North,Award-winner
Rabindra Kanan Sarbojanin Durgotsab,"RABINDRA KANAN SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.590999, 88.360277",Girish Park / Shobhabazar Sutanuti,4.5,North,Award-winner
Chatterjeehat Shree Shree Durgapuja Sangam,"73, 3. Chatterjihat, Shibpur. Howrah 711104","22.573096, 88.306167",Howrah Maidan,4.6,Howrah,Traditional
Ag Block Durga Puja Committee,"AG Block, Sector 2, Bidhannagar, Kolkata 700064","22.599509, 88.424031",Central Park / Karunamoyee,4.8,East,Community-favorite
Dakshin Kolkata Tarun Samity,"23/7/3B, Tollygunge Rd. Sahanagar. Kalighat, Kolkata 700026","22.515652, 88.341854",Kalighat,4.8,South,Community-favorite
Majumder Para Unnayan Samity,MAJUMDER PARA UNNAYAN SAMITY. Kolkata (FFD Member 2025),"22.461642, 88.347972",Salt Lake Sector V / Phoolbagan Metro,4.8,South,Community-favorite
Hari Nath De Road Barowari Durgotsab,"Telephone Exchange, 1, Hari Nath Dey Rd. Kolkata 700006","22.581607, 88.378321",Girish Park / Mahatma Gandhi Road / Sealdah,4.6,North,Traditional
Taltata Yuba Association Durga Puja Samity,"TALTATA YUBA ASSOCIATION DURGA PUJA SAMITY, Kolkata (FFD Member 2025)","22.560037, 88.361592",Shyambazar / Shobhabazar Metro,4.7,Central,Famous-for-lighting
North Tridhara,"158N Hatibagan, Shyambazar, Kolkata 700004","22.598203, 88.368687",Shyambazar,4.7,North,Famous-for-lighting
Kidderpore Venus Club,"441b, Manasatala Ln. Kidderpore. Kolkata 700023","22.538183, 88.326708",Netaji Bhavan / Rabindra Sadan / Majerhat,4.8,South,Community-favorite
Howrah Saraswati Club,"15. Kailash Banerjee Ln, Kadam Tala, Howrah 711101","22.585485, 88.327414",Howrah Maidan,4.6,Howrah,Traditional
Purba Putiary Pragati Sangha,"Ward No 114, Gangapuri Rd. Purba Putiary, Kolkata 700093","22.478407, 88.349441",Netaji,4.5,South,Award-winner
Tilak Nagar Sarbajanin Durgatsab Committee,Netaji Subhas Chandra Bose Rd. Tilak Nagar. Regent Park. Ranikuthi. Kolkata 700040,"22.483494, 88.352993",Netaji,4.7,South,Famous-for-lighting
Surirbagan Sarbojanin Durgotsab Committee,"8/2 Gurudas Dutta Garden Ln. Surir Bagan, Ultadanga, Kolkata 700067","22.596068, 88.387664",Belgachhia,4.6,North,Traditional
Brahmpur Harisava Sarbojanin Durgotsab Committee,"BRAHMPUR HARISAVA SARBOJANIN DURGOTSAB COMMITTEE, Kolkata (FFD Member 2025)","22.574354, 88.362873",Kavi Subhash / Rabindra Sarobar Metro,4.8,South,Community-favorite
Katjunagar Sarbojanin Durgotsab Committee,KATJUNAGAR SARBOJANIN DURGOTSAB COMMITTEE. Kolkata (FFD Member 2025),"22.500228, 88.363695",Kalighat / Jatin Das Park Metro,4.5,South,Award-winner
South Purbachal Ideal Sporting Club,"56. S Purbachal Rd. Shanti Pally. South Purbachal, Haltu, Kolkata 700078","22.504150, 88.390679",Kavi Sukanta / Jyotirindra Nandi,4.8,South,Community-favorite
Howrah Jatiya Sevadal,"HOWRAH JATIYA SEVADAL, Kolkata (FFD Member 2025)","22.574354, 88.362873",Howrah Maidan Metro,4.7,Howrah,Famous-for-lighting
Basupara Sarbojanin Durgotsav (Barisha Sabuj Sathi),"12. Siddhinath Chatterjee Rd. Arcadia. Behala, Kolkata 700034","22.495364, 88.316093",Behala Bazar,4.6,South,Traditional
Uttar Halderpara Club,"Halder Para Rd, Behala Thana, Naskarpur, Behala, Kolkata 700060","22.504855, 88.318985",Taratala,4.6,South,Traditional
Belgachia Sadharan Durgotsab,"Belgachia, Kolkata 700037","22.603899, 88.384430",Belgachhia,4.7,North,Famous-for-lighting
Bowbazar 47 Palli Milansree Welfare Society,"BOWBAZAR 47 PALLI MILANSREE WELFARE SOCIETY, Kolkata (FFD Member 2025)","22.565414, 88.361684",Shyambazar / Shobhabazar Metro,4.8,Central,Community-favorite
Deshapriyanagar Sadharon Durgotsab,"1, KC Ghosh Rd. Deshapriya Nagar Colony, Sinthee, Kolkata 700050","22.630924, 88.379504",Noapara / Dum Dum,4.6,North,Traditional
Khudiram Yubak Sangha,"KHUDIRAM YUBAK SANGHA, Kolkata (FFD Member 2025)","22.506644, 88.350384",Kavi Subhash / Rabindra Sarobar Metro,4.9,South,Award-winner
Bansdroni Sree Sangha,"Adiganga Cooperative Rd. Naktala, Bansdroni. Kolkata 700070","22.473003, 88.359978",Masterda Surya Sen,4.7,South,Famous-for-lighting
Batore Sarbojanin Durgotsav Samity,Belepole. Ichapur. Howrah 711104,"22.575358, 88.305692",Howrah Maidan,4.9,Howrah,Award-winner
Baghajatin Vivekananda Milan Sangha,"Baghajatin Station Rd. Ajanta Park. Baghajatin Colony, Kolkata 700086","22.483882, 88.375480",Satyajit Ray/Gitanjali,4.8,South,Community-favorite
Darpanarayan Tagore St.pally Samity,"42&44 Kali Krishna Tagore Street, Kolkata 700007","22.586561, 88.357114",Girish Park / Mahatma Gandhi Road,4.8,North,Community-favorite
Central Calcutta Youth Association,"40b. Gokul Baral St. Bowbazar, Kolkata 700012","22.563675, 88.362379",Chandni Chowk / Sealdah / Central,4.9,Central,Award-winner
Kalitala & R K Das Road Durgotsav Comm,"KALITALA & R K DAS ROAD DURGOTSAV COMM, Kolkata (FFD Member 2025)","22.516813, 88.353891",Kavi Sukanta,4.9,South,Award-winner
Amardip Sangha,"192, Motilal Gupta Rd, Sodepur Kalitala, Sukanta Pally, Paschim Putiary, Kolkata, West Bengal 700082","22.484450, 88.330535",Netaji / Behala Chowrasta / Mahanayak Uttam Kumar,4.5,South,Award-winner
Madurdaha United Club,"1st Floor, United Club, near Rupdasi Market, Madurdaha, Hussainpur, Kolkata 700107","22.504104, 88.404069",Kavi Sukanta,4.6,South,Traditional
Beleghata Gandhimath Friends Circle,"Kulia, Beleghata, Kolkata 700010","22.561985, 88.394934",Phoolbagan,4.8,East,Community-favorite
East Kolkata Township Welfare Association,"BB-9. Rajdanga Chakraborty Para Rd. Naskarhat, East Kolkata Twp. Kolkata 700107","22.515248, 88.395601",Hemanta Mukhopadhyay,4.7,East,Famous-for-lighting
Ib Block Welfare Association,"Community Hall, IB 202/A, IB Block, Sector 3. Bidhannagar, Kolkata 700106","22.571459, 88.413936",Salt Lake Stadium,4.9,East,Award-winner
Salkia Alapani,"1. Tripura Roy Lane Babudanga, Golabari, Bandhaghat, Mali Panchghara. Howrah 711106","22.598065, 88.346426",Howrah / Shobhabazar Sutanuti,4.5,Howrah,Award-winner
Naktala Udayan Sangha,Naktala. Garia. Kolkata 700047,"22.473095, 88.368853",Masterda Surya Sen / Gitanjali,4.5,South,Award-winner
Nandibagan Sarbojanin Durgotsab Committee,"NANDIBAGAN SARBOJANIN DURGOTSAB COMMITTEE, Kolkata (FFD Member 2025)","22.596982, 88.411832",Kavi Sukanta / Hemanta Mukhopadhyay / Jyotirindra Nandi,4.8,South,Community-favorite
Behala Friends,"1/9, Behala Tram Depot Exit, Diamond Harbour Rd, Behala, Kolkata 700034","22.499320, 88.317625",Behala Bazar,4.7,South,Famous-for-lighting
Patuli Sarbojanin Durgotsab,"Block E. Baishnabghata Patuli Twp. Patuli, Kolkata 700094","22.470686, 88.388567",Shahid Khudiram,4.9,South,Award-winner
Beadon Street Sarbojanin Durgotsav,62/5. Abhedananda Rd. Manicktala. Darjipara. Kolkata 700006,"22.589608, 88.366656",Girish Park,4.9,North,Award-winner
Prantik Pally Sarbojanin Durgapuja,"7. Prantik Pally Rd, Om Namah Shivay Housing Society, Ravindra Pally, Kasba 700107","22.519823, 88.387629",VIP Bazar,4.8,South,Community-favorite
Beltala Shakti Sangha,"Beltala Rd, Bakul Bagan, Bhowanipore, Kolkata 700026","22.525297, 88.349313",Jatin Das Park,4.5,South,Award-winner
Ambagan Durga Puja Committee,"H6RR+27Q,Mohiari, near Laxmi Kamal Hospital, Andul, Mahiari, West Bengal 711302","22.590087, 88.240734",Howrah Maidan,4.6,Howrah,Traditional
Netaji Jatiya Sebadal,"130A, Netaji Subhas Chandra Bose Rd, Aswini Nagar, Regent Park, Kolkata 700040","22.484699, 88.356252",Netaji / Masterda Surya Sen,4.8,South,Community-favorite
Palpara Sarbojanin Durgoutsob Comm,"PALPARA SARBOJANIN DURGOUTSOB COMM, Kolkata (FFD Member 2025)","22.574354, 88.362873",Howrah Maidan Metro,4.5,South,Award-winner
Kalighat Milan Sangha,"32, Harish Chatterjee St, Jatin Das Park, Kalighat, Kolkata 700026","22.524317, 88.341039",Jatin Das Park,4.7,South,Famous-for-lighting
Pathuriaghata Pancher Palli Sarbojanin Durgatsab,"Malapara, Santoshpur, Jorabagan, Kolkata 700006","22.588418, 88.357323",Girish Park,4.6,North,Traditional
Kailash Bose Street Sarbojanin Durgotsava,"KAILASH BOSE STREET SARBOJANIN DURGOTSAVA, Kolkata (FFD Member 2025)","22.583195, 88.369214",Girish Park / Mahatma Gandhi Road,4.7,North,Famous-for-lighting
Bhowanipore Muktadal,"37. Kalighat Rd, Jatin Das Park, Bhowanipore. Kolkata 700025","22.528105, 88.344008",Netaji Bhavan / Jatin Das Park,4.8,South,Community-favorite
Kodalia Netaji Sangha,Harinavi. Rajpur Sonarpur 700146,"22.412605, 88.428272",Shahid Khudiram,4.6,South,Traditional
Badan Chandra Roy Rajbari,Tiretta Bazaar,"22.573909, 88.355599",Central,4.5,Central,Community-favorite
